airport_code,iata,airport_name,city,state,country,metro_area,airport_class,role_in_case,is_us_customs_port,military_colocation,mro_on_field,runway_longest_ft,following_plane_stays,following_plane_tails,following_plane_first,following_plane_last,following_plane_days_on_ground,kirk_tpusa_events,kirk_events_charlie,kirk_events_charlie_and_erika,kirk_events_erika_only,kirk_events_tpusa_no_kirk,surviving_pairings,overlap_claims,overlap_audited_accurate,overlap_audited_partial,overlap_audited_inaccurate,overlap_untested,how_unusual_foreign_state_jet,innocent_explanation,site_page,notes
KGSO,GSO,Piedmont Triad International,High Point,NC,USA,Piedmont Triad NC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KGVL,GVL,Lee Gilmer Memorial,Gainesville,GA,USA,Gainesville GA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KJEF,JEF,Jefferson City Memorial,Jefferson City,MO,USA,Jefferson City MO,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLAF,LAF,Purdue University Airport,West Lafayette,IN,USA,Lafayette IN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLAN,LAN,Capital Region International,East Lansing,MI,USA,Lansing MI,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,1,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLAR,LAR,Laramie Regional,Laramie,WY,USA,Laramie WY,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLAS,LAS,Harry Reid International,Las Vegas,NV,USA,Las Vegas NV,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,4,4,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLAX,LAX,Los Angeles International,Los Angeles,CA,USA,Los Angeles CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,2,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLBB,LBB,Lubbock Preston Smith International,Lubbock,TX,USA,Lubbock TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLEB,LEB,Lebanon Municipal,Hanover,NH,USA,Upper Valley NH/VT,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLEX,LEX,Blue Grass Airport,Lexington,KY,USA,Lexington KY,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLGU,LGU,Logan-Cache Airport,Logan,UT,USA,Wasatch Front UT,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KLWC,LWC,Lawrence Regional Airport,Lawrence,KS,USA,Kansas City-Lawrence KS,municipal general aviation,kirk_tpusa_event_airport,UNKNOWN,none,UNKNOWN,"5,700",0,,,,0,1,1,0,0,0,0,0,0,0,0,0,"Kirk-event airport only (University of Kansas, 3 Apr 2024). No following-plane leg is logged here. The Wichita claim for that date is ~160 miles away.",-,,
KMBT,MBT,Murfreesboro Municipal,Murfreesboro,TN,USA,Nashville TN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMCI,MCI,Kansas City International,Kansas City,MO,USA,Kansas City-Lawrence KS,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMCO,MCO,Orlando International,Orlando,FL,USA,Orlando FL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMHK,MHK,Manhattan Regional,Manhattan,KS,USA,Manhattan KS,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMKE,MKE,Milwaukee Mitchell International,Milwaukee,WI,USA,Milwaukee WI,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMSN,MSN,Dane County Regional,Madison,WI,USA,Madison WI,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMSO,MSO,Missoula Montana Airport,Missoula,MT,USA,Missoula MT,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KMSP,MSP,Minneapolis-St Paul International,Minneapolis,MN,USA,Minneapolis-St Paul MN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KOAK,OAK,Oakland International,Berkeley,CA,USA,Bay Area CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KOUN,OUN,University of Oklahoma Westheimer,Norman,OK,USA,Norman OK,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KPBI,PBI,Palm Beach International,West Palm Beach,FL,USA,Palm Beach FL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,4,4,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KPDK,PDK,DeKalb-Peachtree Airport,Duluth,GA,USA,Atlanta GA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KPGV,PGV,Pitt-Greenville Airport,Greenville,NC,USA,Greenville NC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KPHX,PHX,Phoenix Sky Harbor International Airport,Phoenix,AZ,USA,Phoenix AZ,major international hub,kirk_tpusa_event_airport,yes,none,UNKNOWN,"11,500",0,,,,0,13,13,0,0,0,0,0,0,0,0,0,"Kirk-event airport only, and the DENSEST one in the file: 13 sourced Charlie/TPUSA events (11 logged as Phoenix, 2 as Tempe), more than any other city, because TPUSA is headquartered in Phoenix. NO following-plane leg is logged here at any point. Erika Kirk has reportedly said she stayed home in ARIZONA on 10 September 2025.",It is the TPUSA home metro. The absence of any Egyptian-registered leg at the fleet's most obvious target city is a finding that cuts AGAINST the shadowing claim and is recorded here for that reason.,,
KPIT,PIT,Pittsburgh International,Pittsburgh,PA,USA,Pittsburgh PA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,1,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KPWK,PWK,Chicago Executive Airport,Deerfield,IL,USA,Chicago IL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KRDU,RDU,Raleigh-Durham International,Chapel Hill,NC,USA,Raleigh-Durham NC,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,1,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSAN,SAN,San Diego International,San Diego,CA,USA,San Diego CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,5,5,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSAT,SAT,San Antonio International,San Antonio,TX,USA,San Antonio TX,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,2,2,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSBA,SBA,Santa Barbara Municipal,Santa Barbara,CA,USA,Santa Barbara CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSBP,SBP,San Luis Obispo County Regional,San Luis Obispo,CA,USA,San Luis Obispo CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSEA,SEA,Seattle-Tacoma International,Seattle,WA,USA,Seattle WA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSFO,SFO,San Francisco International,San Francisco,CA,USA,Bay Area CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSGF,SGF,Springfield-Branson National,Springfield,MO,USA,Springfield MO,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSJC,SJC,Norman Y. Mineta San Jose International,San Jose,CA,USA,Bay Area CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KSLC,SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,Wasatch Front UT,major international hub,kirk_tpusa_event_airport,yes - US customs port of entry,Utah Air National Guard on field,several,"12,000",0,,,,0,1,1,0,0,0,1,0,0,0,0,0,"NOT unusual. One aircraft (SU-BND, Apr 2024) entered the US via SLC rather than a small northern field, then went to Provo.",Ordinary customs entry for the Wasatch Front.,,
KTLH,TLH,Tallahassee International,Tallahassee,FL,USA,Tallahassee FL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,3,3,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KTOA,TOA,Zamperini Field / Torrance,Rancho Palos Verdes,CA,USA,Los Angeles CA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KTPA,TPA,Tampa International,Tampa,FL,USA,Tampa FL,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,5,5,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KTUS,TUS,Tucson International,Tucson,AZ,USA,Tucson AZ,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KTYS,TYS,McGhee Tyson Airport,Knoxville,TN,USA,Knoxville TN,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KUNV,UNV,University Park Airport,University Park,PA,USA,State College PA,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KUOX,UOX,University-Oxford Airport,Oxford,MS,USA,Oxford MS,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,0,0,0,1,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
KXNA,XNA,Northwest Arkansas National,Fayetteville,AR,USA,NW Arkansas AR,UNKNOWN - not researched; event-side airport only,kirk_tpusa_event_airport,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,0,,,,0,1,1,0,0,0,0,0,0,0,0,0,NOT RESEARCHED. This field appears in this investigation only as the nearest airport to a sourced Charlie Kirk / TPUSA event. No following-plane leg is logged here.,n/a - no foreign-registered leg logged here,,
RJTT,HND,Tokyo Haneda Airport,Tokyo,,Japan,Tokyo JP,major international hub,kirk_tpusa_event_airport,yes,none,UNKNOWN,"11,000",0,,,,0,1,1,0,0,0,0,0,0,0,0,0,"Kirk-event airport only (Tokyo, 7 Sep 2025). Same point as Incheon.",-,,
RKSI,ICN,Incheon International Airport,Seoul,,South Korea,Seoul KR,major international hub,kirk_tpusa_event_airport,yes,none,UNKNOWN,"12,300",0,,,,0,1,1,0,0,0,0,0,0,0,0,0,"Kirk-event airport only (Build Up Korea, 5-6 Sep 2025). Charlie Kirk was on a DIFFERENT CONTINENT during four of the six days SU-BTT sat at Provo. Recorded because it is the strongest single fact against the September 'following' framing.",-,,
