dates,who,city,state,country,title,university_or_venue,time,event_type,date_certainty,source,source_url,notes,mdx_page
2024-01-29 to 2024-02-04,Charlie,Las Vegas,NV,USA,Turning Point Action Restoring National Confidence Summit,Las Vegas (RNC strategy / Restoring National Confidence),,summit,EVENT_DATE,POLITICO 29 Jan 2024 (Las Vegas meeting bashing RNC leadership); podcasts 2024-01-29 and 2024-02-04,https://www.politico.com/news/2024/01/29/republican-party-feud-turning-point-las-vegas-00138493,City sourced from POLITICO's Jan 29 2024 Las Vegas TP Action meeting. Exact venue inside Las Vegas not named here. Two episode releases from the same event. Replaces the UNKNOWN-city row.,site/docs/Planes/following/speaking/20240129_las_vegas.mdx
2024-03-06,TPUSA,Chapel Hill,NC,USA,Live Free Tour — UNC Chapel Hill (Candace Owens),University of North Carolina at Chapel Hill,,campus,EVENT_DATE,TPUSA Spring 2024 Live Free press release 8 Feb 2024,https://backend.tpusa.com/wp-content/uploads/2024/02/Press-Release-Live-Free-Tour-Spring-2024-1.pdf,"EVENT DATE March 6, 2024. Press list assigns this stop; speaker of record on the tour list is Candace Owens. Kirk returned with Vivek on Oct 21, 2024.",site/docs/Planes/following/speaking/20240306_chapel_hill.mdx
2024-03-07,Charlie,San Luis Obispo,CA,USA,Prove Me Wrong table — Cal Poly SLO,"Dexter Lawn, Cal Poly San Luis Obispo",12:30–14:00 PT,campus,EVENT_DATE,Mustang News 14 March 2024,https://mustangnews.net/tpusa-hosts-charlie-kirk-gathering-large-crowd-of-supporters-and-protestors/,"EVENT DATE March 7, 2024. Kirk at Dexter Lawn ~12:30-2 p.m. Hundreds around the table; protest march at noon. @charliekirk11 18 Mar 2024 listed Cal Poly SLO as already done.",site/docs/Planes/following/speaking/20240307_san_luis_obispo.mdx
2024-03-14,Charlie,Fullerton,CA,USA,Prove Me Wrong — Cal State Fullerton,Cal State Fullerton Humanities Quad,,campus,EVENT_DATE,@charliekirk11 4 Mar 2024 ('March 14th I'll see you there'); Daily Titan recap,https://x.com/charliekirk11/status/1764731166777893322,"EVENT DATE March 14, 2024. Podcast 2024-04-24 is PROXY of this stop.",site/docs/Planes/following/speaking/20240314_fullerton.mdx
2024-03-18,Charlie,San Diego,CA,USA,Live Free / Prove Me Wrong — San Diego State University,San Diego State University,,campus,EVENT_DATE,@charliekirk11 18 Mar 2024; TPUSA Spring 2024 press list,https://x.com/charliekirk11/status/1769835488137863577,"EVENT DATE March 18, 2024. Kirk posted video the same day. Press list also put SDSU on March 18. A later 2024-05-16 podcast is a second SDSU tabling ('Trans vs Detrans'), not this one.",site/docs/Planes/following/speaking/20240318_san_diego.mdx
2024-03-19,Charlie,Phoenix,AZ,USA,The Kids Who Will Win Back America — TPUSA new-hire speech,TPUSA staff onboarding (Phoenix HQ),,internal,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,Internal TPUSA event. City inferred from TPUSA Phoenix HQ. Podcast date is a PROXY. Same calendar day as the Pitt Live Free stop is a collision — one of these dates is a release date. Keep both and mark the HQ speech as PROXY.,site/docs/Planes/following/speaking/20240319_phoenix.mdx
2024-03-19,TPUSA,Pittsburgh,PA,USA,Live Free Tour — University of Pittsburgh (Candace Owens),University of Pittsburgh,,campus,EVENT_DATE,TPUSA Spring 2024 Live Free press release; Kirk X photos from the stop,https://backend.tpusa.com/wp-content/uploads/2024/02/Press-Release-Live-Free-Tour-Spring-2024-1.pdf,"EVENT DATE March 19, 2024. Speaker of record on the tour list is Candace. Charlie+Vivek Pitt visit is September 2024.",site/docs/Planes/following/speaking/20240319_pittsburgh.mdx
2024-03-21,Charlie,Las Vegas,NV,USA,Campus event — UNLV,University of Nevada Las Vegas,,campus,EVENT_DATE,"@charliekirk11 21 Mar 2024 ('Over 1,000 students attended our campus event at UNLV')",https://x.com/charliekirk11/status/1771020450568818768,"EVENT DATE March 21, 2024. Podcast 2024-05-08 UNLV tabling is PROXY of this (or an unsourced later table). Separate REAL UNLV visit Oct 24.",site/docs/Planes/following/speaking/20240321_las_vegas.mdx
2024-03-27,Charlie,Lubbock,TX,USA,Live Free Tour — Texas Tech University,Texas Tech University,,campus,EVENT_DATE,TPUSA Spring 2024 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2024/02/Press-Release-Live-Free-Tour-Spring-2024-1.pdf,"EVENT DATE March 27, 2024. Replaces the 2024-04-04 podcast-proxy Texas Tech row.",site/docs/Planes/following/speaking/20240327_lubbock.mdx
2024-04-03,Charlie,Lawrence,KS,USA,Live Free Tour — University of Kansas,University of Kansas,,campus,EVENT_DATE,TPUSA Spring 2024 Live Free press release,https://backend.tpusa.com/wp-content/uploads/2024/02/Press-Release-Live-Free-Tour-Spring-2024-1.pdf,"EVENT DATE April 3, 2024. KANSAS is a clustering-claim state; SU-BTT later landed at Wichita. Gap to that landing is ~16 months, not an overlap. Replaces the 2024-04-12 podcast-proxy KU row.",site/docs/Planes/following/speaking/20240403_lawrence.mdx
2024-04-09,Charlie,Omaha,NE,USA,Win Every Vote / Winner-Take-All rally — Omaha,"Lord of Hosts Church, 5351 S. 139th Plaza, Omaha",19:00 CT,rally,EVENT_DATE,AP 10 Apr 2024; Omaha World-Herald; @charliekirk11 9 Apr 2024,https://apnews.com/article/winner-take-all-electoral-votes-nebraska-trump-d5fb580a7f2ee1d4bb88bc3ae7d09d93,"EVENT DATE April 9, 2024. TP Action + Nebraska GOP. Crowd ~500 + ~400 overflow (AP). Podcast 2024-04-11 is PROXY. IMPORTANT FOR THE OVERLAP CLAIM: Omaha is the city SU-BTT flew into on 2025-07-20 and 2025-08-17. The gap is 15-16 months, so this does NOT support a same-window overlap. Second 2024 Omaha appearance Oct 22.",site/docs/Planes/following/speaking/20240409_omaha.mdx
2024-04-23,Charlie,Salt Lake City,UT,USA,Prove Me Wrong — University of Utah,University of Utah,,campus,EVENT_DATE,Planes/following/overview.mdx: SU-BTT arrives Provo 23 April via Williston ND; Charlie does Prove Me Wrong at the University of Utah the same day. Called the tightest sourced pairing in the pre-2025 record.,/Planes/following/overview,"EVENT DATE April 23, 2024. University of Utah is in Salt Lake City, ~45 miles from Provo Municipal. The following overview treats this as the tightest pre-2025 pairing with SU-BTT's Provo arrival the same day. The Kirk-side citation on that overview is a researcher-compiled timeline; this row exists so the pairing can be checked rather than assumed. Not in the original podcast CSV.",site/docs/Planes/following/speaking/20240423_salt_lake_city.mdx
2024-05-07,Charlie,Seattle,WA,USA,Live Free Tour / Prove Me Wrong — University of Washington,"HUB Lawn then HUB Ballroom, University of Washington",tabling afternoon; ballroom 18:30 PT (doors 17:30),campus,EVENT_DATE,The Daily UW 7 May 2024,https://www.dailyuw.com/article/right-wing-activist-charlie-kirk-visits-uw-debates-students-on-campus-20240507,"EVENT DATE May 7, 2024. Tabling on HUB Lawn then 6:30 p.m. HUB Ballroom. ~200 at the table. Replaces the 2024-05-12 podcast-proxy UW row.",site/docs/Planes/following/speaking/20240507_seattle.mdx
2024-05-08,Charlie,Las Vegas,NV,USA,Prove Me Wrong tabling — UNLV,University of Nevada Las Vegas,,campus,PODCAST_PROXY,Charlie Kirk Show; @charliekirk11 18 Mar 2024 listed UNLV as next after SDSU,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,"Podcast 2024-05-08 is a PROXY. Kirk returned to UNLV on Oct 24, 2024 (his own X recap: 1,500+ students). Do not collapse the two UNLV visits.",site/docs/Planes/following/speaking/20240508_las_vegas.mdx
2024-05-16,Charlie,San Diego,CA,USA,Trans vs Detrans: Prove Me Wrong table — SDSU (second 2024 visit),San Diego State University,,campus,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,Second SDSU visit of 2024 (after March 18). Podcast date is a PROXY.,site/docs/Planes/following/speaking/20240516_san_diego.mdx
2024-06-07 to 2024-06-09,Charlie,San Antonio,TX,USA,Young Women's Leadership Summit 2024,"Marriott Rivercenter, San Antonio, TX",,summit,EVENT_DATE,"TPUSA YWLS 2024 press release 13 Feb 2024; TPUSA recap 11 June 2024 (2,500 attendees)",https://backend.tpusa.com/wp-content/uploads/2024/02/Press-Release-YWLS-2024.pdf,"EVENT DATES June 7-9, 2024, Marriott Rivercenter. @charliekirk11 June 8: 'Remarkable opening... 2,500+ in attendance.' 65% first-time attendees per TPUSA recap. Riley Gaines spoke.",site/docs/Planes/following/speaking/20240607_san_antonio.mdx
2024-06-14 to 2024-06-16,Charlie,Detroit,MI,USA,Turning Point Action People's Convention,"Huntington Place Convention Center, Detroit",,summit,EVENT_DATE,Detroit News 4 May 2024; Mother Jones 15 June 2024; NPR/OPB 16 June 2024,https://www.detroitnews.com/story/news/politics/2024/05/04/donald-trump-conservative-turning-point-action-peoples-convention-in-detroit-huntington-place/73554323007/,"EVENT DATES June 14-16, 2024. Trump headlined Saturday June 15. Also Vivek Ramaswamy, Kristi Noem, Lara Trump, Donald Trump Jr. SU-BTU flew Detroit -> Provo on 2025-03-02, nine months later; no source connects the two. Replaces the stretched 2024-06-14-to-23 podcast-release window.",site/docs/Planes/following/speaking/20240614_detroit.mdx
2024-07-24 to 2024-07-26,Charlie,West Palm Beach,FL,USA,Turning Point Academy Educators' Summit 2024,"West Palm Beach, Florida",,summit,EVENT_DATE,@tpusaacademy Instagram 2 July 2024,https://www.instagram.com/p/C87afhyPQK_/,"EVENT DATES July 24-26, 2024, West Palm Beach. Overlaps the Believers Summit next door on the calendar. Podcast 2024-07-29 'The Myth of Neutral Education' is a delayed release.",site/docs/Planes/following/speaking/20240724_west_palm_beach.mdx
2024-07-26 to 2024-07-28,Charlie,West Palm Beach,FL,USA,TPUSA Faith Believers Summit 2024,"West Palm Beach, Florida",,faith,EVENT_DATE,TPUSA recap; YouTube TPUSA Faith; RSBN Trump keynote 26 July 2024,https://tpusa.com/live/tpusas-the-believers-summit-a-call-to-unity-and-biblical-truth/,"EVENT DATES July 26-28, 2024, West Palm Beach. Trump keynoted Friday July 26. Replaces the UNKNOWN-city 2024-07-28-to-30 row.",site/docs/Planes/following/speaking/20240726_west_palm_beach.mdx
2024-09-03,Charlie,Phoenix,AZ,USA,The Key Pillars of America — TPUSA new-hire speech,TPUSA staff onboarding (Phoenix HQ),,internal,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,Internal TPUSA event. City inferred from Phoenix HQ. Podcast date is a PROXY.,site/docs/Planes/following/speaking/20240903_phoenix.mdx
2024-09-05,Charlie,Madison,WI,USA,You're Being Brainwashed Tour — UW-Madison,University of Wisconsin-Madison,,campus,EVENT_DATE,TPUSA 'You're Being Brainwashed Tour' press release 27 Aug 2024,https://tpusa.com/wp-content/uploads/2025/04/Press-Release-Brainwashed-Tour-Fall-2024.pdf,"EVENT DATE Sept 5, 2024, first stop of the fall Brainwashed tour. Later Dec 13-18 podcasts from UW-Madison are delayed releases of this visit (or a second visit — no second date sourced). Replaces the Dec podcast-proxy Madison row as the live date.",site/docs/Planes/following/speaking/20240905_madison.mdx
2024-09-10,Charlie,Boulder,CO,USA,You're Being Brainwashed Tour — UC Boulder,University of Colorado Boulder,,campus,EVENT_DATE,TPUSA Brainwashed Tour press release; podcast 2024-09-25 is delayed,https://www.tpusa.com/live/youre-being-brainwashed-turning-point-usa-announces-fall-2024-campus-tour-2,"EVENT DATE Sept 10, 2024. Replaces the 2024-09-25 podcast-proxy Boulder row.",site/docs/Planes/following/speaking/20240910_boulder.mdx
2024-09-11,Charlie,Denton,TX,USA,You're Being Brainwashed Tour — University of North Texas,University of North Texas,,campus,EVENT_DATE,TPUSA Brainwashed Tour press release,https://tpusa.com/wp-content/uploads/2025/04/Press-Release-Brainwashed-Tour-Fall-2024.pdf,"EVENT DATE Sept 11, 2024. Replaces the 2024-09-26 podcast-proxy UNT row.",site/docs/Planes/following/speaking/20240911_denton.mdx
2024-09-13,Charlie,Manhattan,KS,USA,You're Being Brainwashed Tour — Kansas State University,Kansas State University,,campus,EVENT_DATE,TPUSA Brainwashed Tour press release,https://tpusa.com/wp-content/uploads/2025/04/Press-Release-Brainwashed-Tour-Fall-2024.pdf,"EVENT DATE Sept 13, 2024. KANSAS is a clustering-claim state. Not in the original CSV.",site/docs/Planes/following/speaking/20240913_manhattan.mdx
2024-09-18,Charlie,Pittsburgh,PA,USA,You're Being Brainwashed Tour — Pitt with Vivek Ramaswamy,University of Pittsburgh,,campus,EVENT_DATE,"@charliekirk11 27 Sep 2024 ('We've been to Univ of Pittsburgh, Penn State, and ASU so far')",https://x.com/charliekirk11/status/1839688068619702275,"EVENT DATE Sept 18, 2024 (Onward State listed Pitt among Brainwashed stops). Podcast 2024-11-21 is PROXY, not a November campus date.",site/docs/Planes/following/speaking/20240918_pittsburgh.mdx
2024-09-19,Charlie,University Park,PA,USA,You're Being Brainwashed Tour — Penn State,"HUB Lawn, Penn State University",noon,campus,EVENT_DATE,Onward State 11/19 Sep 2024,https://onwardstate.com/2024/09/11/turning-point-usa-bringing-youre-being-brainwashed-tour-to-penn-state-september-19/,"EVENT DATE Sept 19, 2024.",site/docs/Planes/following/speaking/20240919_university_park.mdx
2024-09-30,Charlie,Missoula,MT,USA,Brainwashed Tour + TP Action Save Big Sky Rally — University of Montana,University of Montana,PMW 12:00–13:00 MDT; rally 15:30 MDT,campus,EVENT_DATE,Missoula GOP; @charliekirk11 30 Sep 2024,https://missoulagop.org/event/brainwashed-tour-with-charlie-kirk/,"EVENT DATE Sept 30, 2024. Two events same day on campus.",site/docs/Planes/following/speaking/20240930_missoula.mdx
2024-10-11,Charlie,Corvallis,OR,USA,You're Being Brainwashed Tour — Oregon State,"Memorial Union quad, Oregon State University",12:00 local,campus,EVENT_DATE,Daily Barometer 14 Oct 2024,https://dailybaro.orangemedianetwork.com/25721/daily-barometer-news/charlie-kirk-visits-osu-on-college-tour/,"EVENT DATE Oct 11, 2024. Police estimate ~350. Podcast 2024-10-17 is PROXY.",site/docs/Planes/following/speaking/20241011_corvallis.mdx
2024-10-15,Charlie,AMBIGUOUS,NV,USA,"Charlie Scores A Vote For Trump, Live at the University of Nevada",University of Nevada (Reno or Las Vegas — title does not say),,campus,PODCAST_PROXY,Charlie Kirk Show Apple Podcasts catalog,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,"Campus AMBIGUOUS in the source title. Do not resolve without a second source. Kirk's Oct 24 UNLV appearance is a separate, dated event.",site/docs/Planes/following/speaking/20241015_university_of_nevada.mdx
2024-10-15,Charlie,Flagstaff,AZ,USA,You're Being Brainwashed Tour — Northern Arizona University,"University Union amphitheater, Northern Arizona University",,campus,EVENT_DATE,The Lumberjack 24 Oct 2024; @charliekirk11 15 Oct 2024,https://www.jackcentral.org/news/charlie-kirk-returns-to-nau-for-brainwashed-tour/article_09b8dabc-925a-11ef-95c5-ef0713a45b85.html,"EVENT DATE Oct 15, 2024. Second sourced NAU visit (after 2023-09-19).",site/docs/Planes/following/speaking/20241015_flagstaff.mdx
2024-10-16,Charlie,Tucson,AZ,USA,TP Action / Brainwashed window — University of Arizona with Tulsi Gabbard,University of Arizona Student Union,doors 17:30 MST; start 18:30 MST,campus,EVENT_DATE,@charliekirk11 10 Oct 2024; State Press 20 Oct 2024,https://x.com/charliekirk11/status/1844438706054365627,"EVENT DATE Oct 16, 2024. The 2024-11-26 Tulsi Gabbard Prove Me Wrong podcast is likely a delayed release of this stop (city was UNKNOWN on that episode).",site/docs/Planes/following/speaking/20241016_tucson.mdx
2024-10-21,Charlie,Chapel Hill,NC,USA,Prove Me Wrong with Vivek Ramaswamy — UNC Chapel Hill,University of North Carolina at Chapel Hill,afternoon,campus,EVENT_DATE,"@charliekirk11 26 Oct 2024 ('2,000+ students')",https://x.com/charliekirk11/status/1850281900860182855,"EVENT DATE Oct 21, 2024 afternoon, same day as Georgia State morning. Second 2024 Chapel Hill stop (after March 6).",site/docs/Planes/following/speaking/20241021_chapel_hill.mdx
2024-10-21,Charlie,Atlanta,GA,USA,Prove Me Wrong with Vivek Ramaswamy — Georgia State University,"Georgia State University, downtown Atlanta",morning,campus,EVENT_DATE,"@charliekirk11 26 Oct 2024 week recap ('1,000+ students')",https://x.com/charliekirk11/status/1850281900860182855,"EVENT DATE Oct 21, 2024 morning. Same day as UNC-Chapel Hill afternoon. Podcast 2024-12-06 is a delayed release.",site/docs/Planes/following/speaking/20241021_atlanta.mdx
2024-10-22,Charlie,Omaha,NE,USA,Campaign mobilization — Omaha (second 2024 visit),"Omaha, Nebraska (venue not named in Kirk's week log)",evening,rally,EVENT_DATE,@charliekirk11 26 Oct 2024 week recap,https://x.com/charliekirk11/status/1850281900860182855,"EVENT DATE Oct 22, 2024 evening. Second 2024 Omaha appearance after April 9. Same-day hop from UGA morning. Gap to SU-BTT's 2025 Omaha landings is still ~9 months — not a same-window overlap.",site/docs/Planes/following/speaking/20241022_omaha.mdx
2024-10-22,Charlie,Athens,GA,USA,You're Being Brainwashed Tour — University of Georgia,"Tate Student Center, University of Georgia",morning,campus,EVENT_DATE,Red & Black 23 Oct 2024; @charliekirk11 26 Oct 2024,https://www.redandblack.com/uganews/charlie-kirks-youre-being-brainwashed-tour-comes-to-uga/article_c7fc0590-9141-11ef-8a38-1ba0b263d329.html,"EVENT DATE Oct 22, 2024 morning. Podcast 2024-10-29 is PROXY. Same calendar day as Omaha evening.",site/docs/Planes/following/speaking/20241022_athens.mdx
2024-10-23,Charlie,Duluth,GA,USA,Turning Point Action Georgia For Trump rally,"Gas South Arena, Duluth / metro Atlanta",afternoon (Kirk log); Trump evening,rally,EVENT_DATE,"AP 24 Oct 2024; @charliekirk11 26 Oct 2024. Fox 5 later said Oct 24 — report the conflict, prefer Kirk log + AP Wednesday = Oct 23.",https://apnews.com/article/turning-point-election-2024-donald-trump-2b3580134a6b19dff18771c3fdb0f11a,"EVENT DATE Oct 23, 2024. Replaces the UNKNOWN-city Georgia For Trump podcast-proxy row.",site/docs/Planes/following/speaking/20241023_duluth.mdx
2024-10-24,Charlie,Las Vegas,NV,USA,Prove Me Wrong — UNLV (plus TP Action Trump rally),University of Nevada Las Vegas; TP Action 'United for Change' rally Las Vegas,"morning campus; afternoon Trump rally 12,500+ claimed",campus,EVENT_DATE,@charliekirk11 26 Oct 2024 week recap,https://x.com/charliekirk11/status/1850281900860182855,"EVENT DATE Oct 24, 2024. Campus morning 1,500+ students then TP Action Trump rally. Resolves the original CSV's Georgia-rally-only 2024-10-24 row as a different event; Georgia For Trump remains a separate proxy row.",site/docs/Planes/following/speaking/20241024_las_vegas.mdx
2024-10-28,Charlie,Phoenix,AZ,USA,GOTV / Prove Me Wrong — Grand Canyon University,Grand Canyon University,,campus,EVENT_DATE,@charliekirk11 28 Oct 2024; NAU paper previewed GCU Oct 28,https://x.com/charliekirk11/status/1850992657281269852,"EVENT DATE Oct 28, 2024. Podcast 2024-11-18 is PROXY.",site/docs/Planes/following/speaking/20241028_phoenix.mdx
2024-10-30,Charlie,Greenville,NC,USA,You're Being Brainwashed Tour — East Carolina University,East Carolina University,,campus,EVENT_DATE,@charliekirk11 30 Oct 2024,https://x.com/charliekirk11/status/1851712534836867197,"EVENT DATE Oct 30, 2024. Podcast 2024-11-03 is PROXY.",site/docs/Planes/following/speaking/20241030_greenville.mdx
2024-10-31,Charlie,High Point,NC,USA,Gen Z Campus Town Hall with JD Vance,High Point University,,campus,EVENT_DATE,@charliekirk11 31 Oct 2024,https://x.com/charliekirk11/status/1852006257798025558,"EVENT DATE Oct 31, 2024. JD Vance appeared with Kirk.",site/docs/Planes/following/speaking/20241031_high_point.mdx
2024-12-19 to 2024-12-22,Charlie,Phoenix,AZ,USA,AmericaFest 2024,Phoenix Convention Center,,summit,EVENT_DATE,Wikipedia AmericaFest (Dec 19-22); site/docs/Amfest/amfest-year-timeline.mdx also records Dec 19-24 six-day programme,https://en.wikipedia.org/wiki/AmericaFest,"Wikipedia: Dec 19-22, 2024. The site's Amfest timeline uses Dec 19-24. President-elect Trump spoke. Tucker Carlson, Ben Shapiro, Matt Walsh, Riley Gaines, Cenk Uygur, Patrick Bet-David. city CONFIRMED.",site/docs/Planes/following/speaking/20241219_phoenix.mdx
2025-01-19 to 2025-01-20,Charlie,Washington,DC,USA,Turning Point's Inaugural Eve Ball,"TPUSA Inaugural Eve Ball, Washington, D.C.",,gala,EVENT_DATE,"Charlie Kirk Show 2025-01-20 ('Toasts To Victory With JD Vance, Don Jr')",site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,"Tied to the Jan 20, 2025 inauguration. City inferred from the inauguration. JD Vance and Don Jr named in the episode title.",site/docs/Planes/following/speaking/20250119_washington.mdx
2025-02-18 to 2025-02-19,Charlie,Phoenix,AZ,USA,Hillsdale College National Leadership Seminar,"Hillsdale NLS, Phoenix (not the Michigan campus)",,conference,EVENT_DATE,"Hillsdale College memorial page: 'Charlie last spoke to a Hillsdale College audience on February 18, 2025, at a National Leadership Seminar in his home city of Phoenix.'",https://charlie.hillsdale.edu/,"EVENT DATES Feb 18-19, 2025, Phoenix. The 2025-03-02 Hillsdale podcast is PROXY of this, not a speech on the Hillsdale MI campus. Same calendar neighborhood as SU-BTU's reported Detroit -> Provo leg — no document ties the two.",site/docs/Planes/following/speaking/20250218_phoenix.mdx
2025-02-20,Charlie,Tampa,FL,USA,American Comeback Tour — University of South Florida (first 2025 campus stop),University of South Florida,,campus,EVENT_DATE,USA TODAY Network-Florida 21 Feb 2025; The Battalion 12 Feb 2025 tour list; AZ Central 11 Sep 2025,https://www.yahoo.com/news/charlie-kirk-conservative-firebrand-coming-170850126.html,"EVENT DATE Feb 20, 2025. First stop of the spring American Comeback Tour. Replaces the 2025-03-11 and 2025-04-01 USF podcast-proxy rows as the live date (those episodes are delayed releases from this visit unless a second USF date is sourced).",site/docs/Planes/following/speaking/20250220_tampa.mdx
2025-02-27,Charlie,Gainesville,FL,USA,American Comeback Tour — University of Florida,University of Florida,,campus,EVENT_DATE,USA TODAY Network-Florida 21 Feb 2025; The Battalion tour list,https://www.yahoo.com/news/charlie-kirk-conservative-firebrand-coming-170850126.html,"EVENT DATE Feb 27, 2025. Not in the original CSV.",site/docs/Planes/following/speaking/20250227_gainesville.mdx
2025-02-28,Charlie,Tallahassee,FL,USA,American Comeback Tour — Florida State University,Florida State University,,campus,EVENT_DATE,USA TODAY Network-Florida 21 Feb 2025; The Battalion tour list,https://www.sctimes.com/story/news/local/2025/02/21/conservative-icon-charlie-kirk-of-turning-point-usa-coming-to-fsu/79330709007/,"EVENT DATE Feb 28, 2025. Third Florida stop in nine days. Kirk's prior FSU visits: Oct 20, 2022 and May 2023.",site/docs/Planes/following/speaking/20250228_tallahassee.mdx
2025-03-03,Charlie,Los Angeles,CA,USA,American Comeback Tour — USC,University of Southern California,,campus,EVENT_DATE,"ATVN (USC student TV) 'Charlie Kirk visits USC | Monday March 3, 2025'",https://www.youtube.com/watch?v=jKoQxpE5gBU,"EVENT DATE March 3, 2025. Not in the original CSV. Not on The Battalion's original six-stop list — the tour expanded.",site/docs/Planes/following/speaking/20250303_los_angeles.mdx
2025-03-13,Charlie,Knoxville,TN,USA,American Comeback Tour — University of Tennessee,"University of Tennessee, Knoxville",,campus,EVENT_DATE,"ABC News 10 Sep 2025 (photo caption: Knoxville, March 13, 2025)",https://abcnews.com/Politics/charlie-kirks-tour-invited-political-debates-college-campuses/story?id=125459212,"EVENT DATE March 13, 2025. ABC used this photo in the UVU assassination story. Not in the original CSV.",site/docs/Planes/following/speaking/20250313_knoxville.mdx
2025-03-18 to 2025-03-20,Charlie,Gainesville,GA,USA,Faith Forward Pastors Summit — Free Chapel,"Free Chapel, Gainesville, Georgia (Jentezen Franklin)",,faith,EVENT_DATE,"tpusafaithevents.com ('From March 18-20, 2025'); on-site registration note at Free Chapel",https://www.tpusafaithevents.com/faith-forward-1,"EVENT DATES March 18-20, 2025. City is the public location of Free Chapel (Gainesville, GA). Podcast 2025-04-06 with Matt Walsh at the Pastors Summit is a delayed release. Replaces the UNKNOWN-city April 6 row.",site/docs/Planes/following/speaking/20250318_gainesville.mdx
2025-04-08,Charlie,Urbana,IL,USA,American Comeback Tour — University of Illinois Urbana-Champaign,"Foellinger Auditorium, UIUC",evening,campus,EVENT_DATE,Illinois Public Media; Daily Illini; WCIA,https://ipmnewsroom.org/turning-point-usa-founder-charlie-kirk-receives-a-warm-welcome-to-the-university-of-illinois/,"EVENT DATE April 8, 2025 evening, after the Illinois State morning stop. Standing-room indoor speech.",site/docs/Planes/following/speaking/20250408_urbana.mdx
2025-04-08,Charlie,Normal,IL,USA,American Comeback Tour — Illinois State University,"Milner Plaza / Lincoln Statue, Illinois State University",~11:00–12:00 CDT,campus,EVENT_DATE,WGLT; Pantagraph; Vidette,https://www.wglt.org/local-news/2025-04-08/photos-conservative-political-activist-charlie-kirk-draws-hundreds-at-isu-stop,"EVENT DATE April 8, 2025 morning. Same-day Illinois double-header with UIUC evening.",site/docs/Planes/following/speaking/20250408_normal.mdx
2025-04-10,Charlie,West Lafayette,IN,USA,American Comeback Tour — Purdue University,"Krach Lawn, Purdue University",,campus,EVENT_DATE,"Indianapolis Star / Blue Water Healthy Living caption: Thursday April 10, 2025, Krach Lawn",https://bluewaterhealthyliving.com/news/local-news/michigan/charlie-kirk-fatally-shot-at-utah-college-his-tour-visited-msu-in-april/,"EVENT DATE April 10, 2025. Not on the original six-stop list. Kirk had been scheduled to return to Indiana University Bloomington on Oct 21, 2025 (after his death, TPUSA kept that date).",site/docs/Planes/following/speaking/20250410_west_lafayette.mdx
2025-04-11,Charlie,East Lansing,MI,USA,American Comeback Tour — Michigan State University,"Wells Courtyard / Wells Hall, Michigan State University",,campus,EVENT_DATE,The State News 12 Apr 2025; Indianapolis Star,https://statenews.com/article/2025/04/charlie-kirks-american-comeback-tour-makes-a-stop-at-msu,"EVENT DATE April 11, 2025. Second sourced MSU visit (after 2022-10-13).",site/docs/Planes/following/speaking/20250411_east_lansing.mdx
2025-04-22,Charlie,College Station,TX,USA,American Comeback Tour — Texas A&M,Texas A&M University,,campus,EVENT_DATE,The Battalion 12 Feb 2025,https://thebatt.com/news/charlie-kirk-to-speak-at-am/,"EVENT DATE April 22, 2025. Replaces the 2025-05-11 podcast-proxy Texas A&M row.",site/docs/Planes/following/speaking/20250422_college_station.mdx
2025-04-24,Charlie,Laramie,WY,USA,American Comeback Tour — University of Wyoming,University of Wyoming,,campus,EVENT_DATE,The Battalion 12 Feb 2025 tour list; episode description later called it an American Comeback Tour stop,https://thebatt.com/news/charlie-kirk-to-speak-at-am/,"EVENT DATE April 24, 2025. Replaces the 2025-06-08 podcast-proxy Wyoming row. Same tour whose fall leg opened at UVU on Sept 10.",site/docs/Planes/following/speaking/20250424_laramie.mdx
2025-04-29,Charlie,UNKNOWN,,USA,Town Hall with TPUSA Students and Treasury Secretary Bessent,TPUSA student town hall,,internal,PODCAST_PROXY,Charlie Kirk Show 2025-04-29,site/docs/TPUSA/apple_podcast/current_apple_podcast.csv,Venue city never stated. Podcast date is a PROXY.,site/docs/Planes/following/speaking/20250429_tpusa_student_town_h.mdx
2025-05-01,Charlie,San Diego,CA,USA,American Comeback Tour — UC San Diego,UC San Diego Town Square,,campus,EVENT_DATE,"Fox News 10 Sep 2025 (photo: May 1, 2025, UCSD Town Square); CalMatters later captioned a UCSD photo May 5",https://www.foxnews.com/us/turning-point-usa-co-founder-charlie-kirk-shot-kickoff-day-american-comeback-tour,Fox dates the UCSD appearance May 1; a CalMatters photo caption says May 5. Record the dispute; do not silently pick one. Not in the original six-stop list.,site/docs/Planes/following/speaking/20250501_san_diego.mdx
